size	colour	x	y	fill
2.85236743776113	#1F4363	0.250592972334101	0.587064676616915	#1F4363
1.22963409191515	#1F4363	0.0836832108330137	0.36318407960199	#1F4363
0	#1F4363	0.0460823091988279	0.0398009950248756	#1F4363
0.379473319220205	#1F4363	0.048583939866202	0.736318407960199	#1F4363
4.39272125225355	#1F4363	0.53185102553768	0.263681592039801	#1F4363
0	#1F4363	0.0459508924350123	0.860696517412935	#1F4363
0.53665631459995	#1F4363	0.0518892547266317	0.960199004975124	#1F4363
0.268328157299975	#1F4363	0.0472200328154466	0.462686567164179	#1F4363
0	#1F4363	0.0457351804561596	0.512437810945274	#1F4363
0	#1F4363	0.0457974856151001	0.0149253731343284	#1F4363
0	#1F4363	0.0454775826561705	0.238805970149254	#1F4363
0.46475800154489	#1F4363	0.0514840094071366	0.63681592039801	#1F4363
0	#1F4363	0.0455493121248667	0.139303482587065	#1F4363
0	#1F4363	0.0460891156447626	0.562189054726368	#1F4363
0	#1F4363	0.0454671112008864	0.437810945273632	#1F4363
0	#1F4363	0.0456807288886822	0.786069651741294	#1F4363
0	#1F4363	0.0454545454545455	0.537313432835821	#1F4363
0.268328157299975	#1F4363	0.0470608666951281	0.313432835820895	#1F4363
0.804984471899924	#1F4363	0.0626109777920329	0.114427860696517	#1F4363
0	#1F4363	0.0454545454545455	0.711442786069652	#1F4363
0	#1F4363	0.0457346568833954	0.213930348258706	#1F4363
0.6	#1F4363	0.0543013544513266	0.189054726368159	#1F4363
0.758946638440411	#1F4363	0.0593637795084301	0.885572139303483	#1F4363
0.379473319220205	#1F4363	0.0487383938316427	0.686567164179104	#1F4363
0.379473319220205	#1F4363	0.0493651104303967	0.835820895522388	#1F4363
0.268328157299975	#1F4363	0.0470980403613867	0.288557213930348	#1F4363
0.379473319220205	#1F4363	0.0498483680917584	0.338308457711443	#1F4363
0.268328157299975	#1F4363	0.047445169104055	0.985074626865672	#1F4363
0.268328157299975	#1F4363	0.0469655764520427	0.810945273631841	#1F4363
0.379473319220205	#1F4363	0.0485012153694575	0.761194029850746	#1F4363
0	#1F4363	0.0455388406695825	0.487562189054726	#1F4363
0	#1F4363	0.0454644933370654	0.412935323383085	#1F4363
0	#1F4363	0.0463289119707687	0.388059701492537	#1F4363
0	#1F4363	0.0461027285366319	0.0895522388059701	#1F4363
1.41985914794391	#1F4363	0.0969793411800136	0.0646766169154229	#1F4363
0	#1F4363	0.0455184213317785	0.91044776119403	#1F4363
0.268328157299975	#1F4363	0.0478210943487545	0.164179104477612	#1F4363
0	#1F4363	0.0457545526484352	0.611940298507463	#1F4363
1.28685663537163	#1F4363	0.0872330341743273	0.661691542288557	#1F4363
6	#1F4363	0.954545454545454	0.935323383084577	#1F4363
