size	x	y	showToolTip
1	0.0454545454545455	0.0157068062827225	Andaman & Nicobar
1.47	0.130573864022499	0.0418848167539267	Andhra Pradesh
1	0.0458985351585918	0.0680628272251309	Arunachal Pradesh
1.02	0.0498645988474488	0.0942408376963351	Assam
1.19	0.0795862539531053	0.120418848167539	Bihar
1	0.0454671112008864	0.146596858638743	Chandigarh
1.82	0.194978026174659	0.172774869109948	Chhattisgarh
1.03	0.0512913346299089	0.198952879581152	Dadra & Nagar Haveli
1	0.0457676419675404	0.225130890052356	Daman & Diu
1	0.0455226099138922	0.25130890052356	Delhi
1.01	0.0467325865719712	0.277486910994764	Goa
1.43	0.123842812565872	0.303664921465969	Gujarat
1.03	0.0509185508217946	0.329842931937173	Haryana
1.01	0.0473289359504013	0.356020942408377	Himachal Pradesh
1	0.0461006342455751	0.382198952879581	Jammu & Kashmir
1.12	0.0672084702345219	0.408376963350785	Jharkhand
1.4	0.118906044972178	0.43455497382199	Karnataka
1	0.0455063791582018	0.460732984293194	Kerala
1	0.0454545454545455	0.486910994764398	Lakshadweep
1.59	0.15241313116304	0.539267015706806	Madhya Pradesh
1.51	0.137738957300651	0.565445026178011	Maharashtra
1	0.0454545454545455	0.591623036649215	Manipur
1	0.0463618970549137	0.617801047120419	Meghalaya
1	0.0454545454545455	0.643979057591623	Mizoram
1	0.0454545454545455	0.670157068062827	Nagaland
1.91	0.21078416435326	0.696335078534031	Orissa
1	0.0456021929740514	0.722513089005236	Pondicherry
1.02	0.0490038452230949	0.74869109947644	Punjab
1.09	0.0610046565514503	0.774869109947644	Rajasthan
1	0.0458707858020889	0.801047120418848	Sikkim
1.11	0.0656618362890587	0.827225130890052	Tamil Nadu
1.04	0.0526123087139995	0.853403141361257	Telengana
1	0.0454639697643012	0.905759162303665	Tripura
1.04	0.0526761845912326	0.931937172774869	Uttar Pradesh
1.02	0.0496415568498972	0.958115183246073	Uttaranchal
1.12	0.0678451347157958	0.984293193717277	West Bengal
1	0.0454613519004801	0.513089005235602	Location in more than One State
6	0.954545454545454	0.879581151832461	Total Investment in Rs. Crore
