size	x	y	showToolTip
1	0.0454613519004801	0.0157068062827225	Andaman & Nicobar
1.45	0.0942970779089886	0.0418848167539267	Andhra Pradesh
1.01	0.0461367607663053	0.0680628272251309	Arunachal Pradesh
1.01	0.0469519635601733	0.0942408376963351	Assam
1.07	0.0526327280518035	0.120418848167539	Bihar
1	0.0454545454545455	0.146596858638743	Chandigarh
1.63	0.113848855642716	0.172774869109948	Chhattisgarh
1.01	0.0463493313085727	0.198952879581152	Dadra & Nagar Haveli
1	0.0459037708862338	0.225130890052356	Daman & Diu
1	0.0456058579834009	0.25130890052356	Delhi
1.01	0.0461781230146775	0.277486910994764	Goa
1.68	0.119927011862379	0.303664921465969	Gujarat
1.01	0.0467231622622155	0.329842931937173	Haryana
1.03	0.0486300142694521	0.356020942408377	Himachal Pradesh
1.01	0.0460948749451688	0.382198952879581	Jammu & Kashmir
1.38	0.0870796273544151	0.408376963350785	Jharkhand
1.44	0.0936515126907232	0.43455497382199	Karnataka
1	0.0455440763972246	0.460732984293194	Kerala
1	0.0454545454545455	0.486910994764398	Lakshadweep
1.32	0.0803606180713653	0.539267015706806	Madhya Pradesh
1.33	0.0810957142323099	0.565445026178011	Maharashtra
1	0.0454545454545455	0.591623036649215	Manipur
1	0.0459624110358248	0.617801047120419	Meghalaya
1	0.0454545454545455	0.643979057591623	Mizoram
1	0.0454545454545455	0.670157068062827	Nagaland
1.81	0.133379166893112	0.696335078534031	Orissa
1	0.0458273292626598	0.722513089005236	Pondicherry
1.05	0.0505494320230297	0.74869109947644	Punjab
1.06	0.0525023584335164	0.774869109947644	Rajasthan
1	0.0455330813691763	0.801047120418848	Sikkim
1.32	0.0806512009554994	0.827225130890052	Tamil Nadu
1.06	0.0515861060961567	0.853403141361257	Telengana
1	0.0454980019939745	0.905759162303665	Tripura
1.05	0.0507646204291181	0.931937172774869	Uttar Pradesh
1.04	0.0503201071523076	0.958115183246073	Uttaranchal
1.21	0.0686959404576298	0.984293193717277	West Bengal
1	0.0454545454545455	0.513089005235602	Location in more than One State
6	0.590105825574247	0.879581151832461	Total Investment in Rs. Crore
