size	x	y	showToolTip
1	0.0454545454545455	0.0157068062827225	Andaman & Nicobar
1.3	0.0935494160017031	0.0418848167539267	Andhra Pradesh
1	0.0459922546833846	0.0680628272251309	Arunachal Pradesh
1	0.0460990635272825	0.0942408376963351	Assam
1.14	0.068505359971459	0.120418848167539	Bihar
1	0.0454597811821875	0.146596858638743	Chandigarh
1.33	0.0989982377587902	0.172774869109948	Chhattisgarh
1.01	0.047488625643484	0.198952879581152	Dadra & Nagar Haveli
1	0.0458027213427421	0.225130890052356	Daman & Diu
1	0.0454901484025114	0.25130890052356	Delhi
1	0.0457493169207932	0.277486910994764	Goa
1.46	0.120157907451393	0.303664921465969	Gujarat
1.03	0.0500096285031337	0.329842931937173	Haryana
1	0.0462571825020726	0.356020942408377	Himachal Pradesh
1	0.0462519467744305	0.382198952879581	Jammu & Kashmir
1.01	0.0471289311544748	0.408376963350785	Jharkhand
1.31	0.0947473504862054	0.43455497382199	Karnataka
1.01	0.0475404593471404	0.460732984293194	Kerala
1	0.0454545454545455	0.486910994764398	Lakshadweep
1.34	0.100182035778659	0.539267015706806	Madhya Pradesh
1.43	0.115471931211754	0.565445026178011	Maharashtra
1	0.0454613519004801	0.591623036649215	Manipur
1.01	0.0468022217496105	0.617801047120419	Meghalaya
1	0.045468681919179	0.643979057591623	Mizoram
1	0.0454744412195853	0.670157068062827	Nagaland
2.04	0.213538157092982	0.696335078534031	Orissa
1	0.0454775826561705	0.722513089005236	Pondicherry
1.04	0.052559951437579	0.74869109947644	Punjab
1.08	0.0577522225402054	0.774869109947644	Rajasthan
1	0.0458351828541229	0.801047120418848	Sikkim
1.24	0.0838575605634941	0.827225130890052	Tamil Nadu
1.04	0.0517934409107821	0.853403141361257	Telengana
1	0.045491719120804	0.905759162303665	Tripura
1.14	0.0683210623584586	0.931937172774869	Uttar Pradesh
1.02	0.049055155353987	0.958115183246073	Uttaranchal
1.98	0.203843160218187	0.984293193717277	West Bengal
1	0.0454545454545455	0.513089005235602	Location in more than One State
6	0.851614190539229	0.879581151832461	Total Investment in Rs. Crore
