size	x	y	showToolTip
1	0.0454545454545455	0.0157068062827225	Andaman & Nicobar
1.27	0.0567249727768341	0.0418848167539267	Andhra Pradesh
1	0.0454760119378779	0.0680628272251309	Arunachal Pradesh
1.02	0.0464399093967803	0.0942408376963351	Assam
1.02	0.0462132023898793	0.120418848167539	Bihar
1	0.0454545454545455	0.146596858638743	Chandigarh
3.01	0.130579099750141	0.172774869109948	Chhattisgarh
1.01	0.0458121456524978	0.198952879581152	Dadra & Nagar Haveli
1	0.0454901484025114	0.225130890052356	Daman & Diu
1.01	0.0457624062398983	0.25130890052356	Delhi
1.2	0.0540662702801983	0.277486910994764	Goa
1.49	0.0661984983723693	0.303664921465969	Gujarat
1.03	0.0468582440353805	0.329842931937173	Haryana
1.01	0.0459671231907027	0.356020942408377	Himachal Pradesh
1	0.0456100465655145	0.382198952879581	Jammu & Kashmir
1	0.0456472202317731	0.408376963350785	Jharkhand
1.27	0.056902987516664	0.43455497382199	Karnataka
1.04	0.0471697698300828	0.460732984293194	Kerala
1	0.0454545454545455	0.486910994764398	Lakshadweep
1.15	0.0518855897172822	0.539267015706806	Madhya Pradesh
1.5	0.0667644805304755	0.565445026178011	Maharashtra
1	0.0454953841301535	0.591623036649215	Manipur
1	0.0454849126748694	0.617801047120419	Meghalaya
1	0.0454718233557642	0.643979057591623	Mizoram
1	0.0454681583464148	0.670157068062827	Nagaland
1.35	0.0602292452876619	0.696335078534031	Orissa
1	0.0455309870781195	0.722513089005236	Pondicherry
1.04	0.0473519731520264	0.74869109947644	Punjab
1.09	0.0492949516799932	0.774869109947644	Rajasthan
1	0.0455634485895002	0.801047120418848	Sikkim
1.18	0.0530976606664181	0.827225130890052	Tamil Nadu
1.08	0.048713785911725	0.853403141361257	Telengana
1	0.0454629226187727	0.905759162303665	Tripura
1.15	0.0519316641205323	0.931937172774869	Uttar Pradesh
1.02	0.0464891252366156	0.958115183246073	Uttaranchal
1.03	0.0469069363024517	0.984293193717277	West Bengal
1	0.0454545454545455	0.513089005235602	Location in more than One State
6	0.257515651422427	0.879581151832461	Total Investment in Rs. Crore
