size	x	y	showToolTip
1	0.0454545454545455	0.0157068062827225	Andaman & Nicobar
1.17	0.0546893218696029	0.0418848167539267	Andhra Pradesh
1	0.04563936664031	0.0680628272251309	Arunachal Pradesh
1.02	0.0462854554313397	0.0942408376963351	Assam
1.02	0.0466666164036813	0.120418848167539	Bihar
1	0.0454545454545455	0.146596858638743	Chandigarh
1.32	0.0633308903428155	0.172774869109948	Chhattisgarh
1.02	0.0462948797410954	0.198952879581152	Dadra & Nagar Haveli
1	0.0456283716122617	0.225130890052356	Daman & Diu
1	0.0454980019939745	0.25130890052356	Delhi
1.01	0.0458069099248558	0.277486910994764	Goa
1.89	0.0948059906357964	0.303664921465969	Gujarat
1.04	0.047638891026811	0.329842931937173	Haryana
1	0.0456896296256737	0.356020942408377	Himachal Pradesh
1	0.045690153198438	0.382198952879581	Jammu & Kashmir
1.07	0.0495064750767322	0.408376963350785	Jharkhand
1.1	0.0507164517348112	0.43455497382199	Karnataka
1.13	0.0529227873631734	0.460732984293194	Kerala
1	0.0454545454545455	0.486910994764398	Lakshadweep
1.84	0.0919033032310408	0.539267015706806	Madhya Pradesh
1.5	0.0734143782086502	0.565445026178011	Maharashtra
1	0.0454880541114546	0.591623036649215	Manipur
1	0.0455377935240541	0.617801047120419	Meghalaya
1	0.0454623990460085	0.643979057591623	Mizoram
1	0.0454545454545455	0.670157068062827	Nagaland
1.93	0.09714321945521	0.696335078534031	Orissa
1	0.0455597835801508	0.722513089005236	Pondicherry
1.02	0.0467587652101815	0.74869109947644	Punjab
1.35	0.0648016062374689	0.774869109947644	Rajasthan
1	0.045730991874046	0.801047120418848	Sikkim
1.26	0.0597899677384934	0.827225130890052	Tamil Nadu
1.07	0.0495813459820136	0.853403141361257	Telengana
1	0.0454859598203978	0.905759162303665	Tripura
1.13	0.0524369118379907	0.931937172774869	Uttar Pradesh
1.02	0.046507973856127	0.958115183246073	Uttaranchal
1.08	0.049671400497457	0.984293193717277	West Bengal
1	0.0454545454545455	0.513089005235602	Location in more than One State
6	0.322993137741209	0.879581151832461	Total Investment in Rs. Crore
