size	x	y
1.01	0.0709247648902821	0.0170454545454545
4.19	0.0621081504702194	0.0454545454545455
1.04	0.056230407523511	0.0738636363636364
1.97	0.0523119122257053	0.102272727272727
3.88	0.0454545454545454	0.130681818181818
1.03	0.220807210031348	0.159090909090909
1.85	0.0483934169278997	0.1875
1.01	0.0640673981191223	0.215909090909091
1.01	0.0640673981191223	0.244318181818182
1.05	0.161050156739812	0.272727272727273
2.85	0.0670062695924765	0.301136363636364
1.72	0.0885579937304075	0.329545454545455
1.22	0.0640673981191223	0.357954545454545
1.3	0.0650470219435737	0.386363636363636
1.94	0.0513322884012539	0.414772727272727
3	0.0836598746081505	0.443181818181818
2.17	0.0983542319749216	0.471590909090909
1	0.0670062695924765	0.5
3.27	0.0503526645768025	0.528409090909091
4.62	0.0934561128526646	0.556818181818182
1.08	0.0581896551724138	0.585227272727273
1.08	0.0513322884012539	0.613636363636364
1.03	0.061128526645768	0.642045454545455
1.06	0.0532915360501567	0.670454545454545
1.51	0.209051724137931	0.698863636363636
2.47	0.0503526645768025	0.727272727272727
1.04	0.0954153605015674	0.755681818181818
1.82	0.0895376175548589	0.784090909090909
2.91	0.0542711598746081	0.8125
1.02	0.0689655172413793	0.840909090909091
3.81	0.077782131661442	0.869318181818182
1.13	0.0464341692789969	0.897727272727273
6	0.0552507836990596	0.926136363636364
1.3	0.0679858934169279	0.954545454545454
4.05	0.0581896551724138	0.982954545454545
