size	x	y
6	0.375690607734807	NA
1	0.0165745856353591	NA
1.43	0.0441988950276243	NA
1.01	0.0718232044198895	NA
1.13	0.0994475138121547	NA
1.38	0.12707182320442	NA
1	0.154696132596685	NA
1.11	0.18232044198895	NA
1	0.209944751381215	NA
1	0.237569060773481	NA
1.01	0.265193370165746	NA
1.25	0.292817679558011	NA
1.1	0.320441988950276	NA
1.03	0.348066298342541	NA
1.04	0.403314917127072	NA
1.13	0.430939226519337	NA
1.27	0.458563535911602	NA
1.16	0.486187845303867	NA
1	0.513812154696133	NA
1.3	0.541436464088398	NA
1.48	0.569060773480663	NA
1.01	0.596685082872928	NA
1.01	0.624309392265193	NA
1	0.651933701657459	NA
1.01	0.679558011049724	NA
1.07	0.707182320441989	NA
1.2	0.734806629834254	NA
1.01	0.762430939226519	NA
1.11	0.790055248618785	NA
1.25	0.81767955801105	NA
1	0.845303867403315	NA
1.37	0.87292817679558	NA
1.02	0.900552486187845	NA
1.67	0.92817679558011	NA
1.04	0.955801104972376	NA
1.41	0.983425414364641	NA
