size	x	y
1.01	0.119905956112853	0.0170454545454545
4.19	0.0768025078369906	0.0454545454545455
1.04	0.0914968652037618	0.0738636363636364
1.97	0.0591692789968652	0.102272727272727
3.88	0.0532915360501567	0.130681818181818
1.03	0.233542319749216	0.159090909090909
1.85	0.056230407523511	0.1875
1.01	0.0689655172413793	0.215909090909091
1.01	0.0983542319749216	0.244318181818182
1.05	0.264890282131661	0.272727272727273
2.85	0.106191222570533	0.301136363636364
1.72	0.115007836990596	0.329545454545455
1.22	0.167907523510972	0.357954545454545
1.3	0.101293103448276	0.386363636363636
1.94	0.0552507836990596	0.414772727272727
3	0.115987460815047	0.443181818181818
2.17	0.343260188087774	0.471590909090909
1	0.418691222570533	0.5
3.27	0.0660266457680251	0.528409090909091
4.62	0.125783699059561	0.556818181818182
1.08	0.0581896551724138	0.585227272727273
1.08	0.0601489028213166	0.613636363636364
1.03	0.107170846394984	0.642045454545455
1.06	0.0679858934169279	0.670454545454545
1.51	0.207092476489028	0.698863636363636
2.47	0.0601489028213166	0.727272727272727
1.04	0.164968652037618	0.755681818181818
1.82	0.165948275862069	0.784090909090909
2.91	0.0914968652037618	0.8125
1.02	0.0719043887147335	0.840909090909091
3.81	0.106191222570533	0.869318181818182
1.13	0.0689655172413793	0.897727272727273
6	0.0601489028213166	0.926136363636364
1.3	0.101293103448276	0.954545454545454
4.05	0.0758228840125392	0.982954545454545
