size	x	y
1.01	0.707680250783699	0.0170454545454545
4.19	0.612656739811912	0.0454545454545455
1.04	0.439263322884013	0.0738636363636364
1.97	0.306034482758621	0.102272727272727
3.88	0.178683385579937	0.130681818181818
1.03	0.844827586206896	0.159090909090909
1.85	0.343260188087774	0.1875
1.01	0.499020376175549	0.215909090909091
1.01	0.634208463949843	0.244318181818182
1.05	0.831112852664577	0.272727272727273
2.85	0.563675548589342	0.301136363636364
1.72	0.701802507836991	0.329545454545455
1.22	0.765478056426332	0.357954545454545
1.3	0.536246081504702	0.386363636363636
1.94	0.299177115987461	0.414772727272727
3	0.624412225705329	0.443181818181818
2.17	0.788989028213166	0.471590909090909
1	0.664576802507837	0.5
3.27	0.351097178683386	0.528409090909091
4.62	0.593064263322884	0.556818181818182
1.08	0.500979623824451	0.585227272727273
1.08	0.366771159874608	0.613636363636364
1.03	0.57641065830721	0.642045454545455
1.06	0.407915360501567	0.670454545454545
1.51	0.898706896551724	0.698863636363636
2.47	0.298197492163009	0.727272727272727
1.04	0.837970219435737	0.755681818181818
1.82	0.845807210031348	0.784090909090909
2.91	0.404976489028213	0.8125
1.02	0.572492163009404	0.840909090909091
3.81	0.88891065830721	0.869318181818182
1.13	0.476489028213166	0.897727272727273
6	0.361873040752351	0.926136363636364
1.3	0.644004702194357	0.954545454545454
4.05	0.382445141065831	0.982954545454545
