size	x	y
1.01	0.855603448275862	0.0170454545454545
4.19	0.654780564263323	0.0454545454545455
1.04	0.509796238244514	0.0738636363636364
1.97	0.505877742946709	0.102272727272727
3.88	0.580329153605016	0.130681818181818
1.03	0.911442006269592	0.159090909090909
1.85	0.337382445141066	0.1875
1.01	0.65282131661442	0.215909090909091
1.01	0.883032915360502	0.244318181818182
1.05	0.90948275862069	0.272727272727273
2.85	0.712578369905956	0.301136363636364
1.72	0.813479623824451	0.329545454545455
1.22	0.842868338557994	0.357954545454545
1.3	0.717476489028213	0.386363636363636
1.94	0.50685736677116	0.414772727272727
3	0.738048589341693	0.443181818181818
2.17	0.915360501567398	0.471590909090909
1	0.954545454545455	0.5
3.27	0.487264890282132	0.528409090909091
4.62	0.713557993730407	0.556818181818182
1.08	0.599921630094044	0.585227272727273
1.08	0.457876175548589	0.613636363636364
1.03	0.748824451410658	0.642045454545455
1.06	0.556818181818182	0.670454545454545
1.51	0.926136363636364	0.698863636363636
2.47	0.426528213166144	0.727272727272727
1.04	0.829153605015674	0.755681818181818
1.82	0.840909090909091	0.784090909090909
2.91	0.728252351097179	0.8125
1.02	0.751763322884012	0.840909090909091
3.81	0.770376175548589	0.869318181818182
1.13	0.507836990595611	0.897727272727273
6	0.692006269592476	0.926136363636364
1.3	0.767437304075235	0.954545454545454
4.05	0.518612852664577	0.982954545454545
