y	x	clickSelects	group	xmin	xmax	ymin	ymax
0.0454545454545455	0.318757192174914	Radio.Transister	1	0.0454545454545455	0.318757192174914	0.0113636363636364	0.0795454545454545
0.121212121212121	0.72439585730725	Television	2	0.0454545454545455	0.72439585730725	0.0871212121212121	0.15530303030303
0.196969696969697	0.18210586881473	Computer.total	3	0.0454545454545455	0.18210586881473	0.162878787878788	0.231060606060606
0.272727272727273	0.0900460299194476	Computer.with.internet	4	0.0454545454545455	0.0900460299194476	0.238636363636364	0.306818181818182
0.348484848484848	0.137514384349827	Computer.without.internet	5	0.0454545454545455	0.137514384349827	0.314393939393939	0.382575757575758
0.424242424242424	0.954545454545455	tot.telephone	6	0.0454545454545455	0.954545454545455	0.390151515151515	0.458333333333333
0.5	0.102991944764097	Landline	7	0.0454545454545455	0.102991944764097	0.465909090909091	0.534090909090909
0.575757575757576	0.810701956271577	Mobile	8	0.0454545454545455	0.810701956271577	0.541666666666667	0.609848484848485
0.651515151515151	0.131760644418872	Both.LandlineMobile	9	0.0454545454545455	0.131760644418872	0.617424242424242	0.685606060606061
0.727272727272727	0.689873417721519	Bicycle	10	0.0454545454545455	0.689873417721519	0.693181818181818	0.761363636363636
0.803030303030303	0.347525891829689	X2.wheeler	11	0.0454545454545455	0.347525891829689	0.768939393939394	0.837121212121212
0.878787878787879	0.113060989643268	X4.wheeler	12	0.0454545454545455	0.113060989643268	0.84469696969697	0.912878787878788
0.954545454545455	0.301495972382048	None.of.the.specified.possesed	13	0.0454545454545455	0.301495972382048	0.920454545454546	0.988636363636364
