size	x	y
1.01	0.115987460815047	0.0170454545454545
4.19	0.226684952978056	0.0454545454545455
1.04	0.337382445141066	0.0738636363636364
1.97	0.267829153605016	0.102272727272727
3.88	0.287421630094044	0.130681818181818
1.03	0.0591692789968652	0.159090909090909
1.85	0.302115987460815	0.1875
1.01	0.280564263322884	0.215909090909091
1.01	0.11108934169279	0.244318181818182
1.05	0.0817006269592477	0.272727272727273
2.85	0.219827586206897	0.301136363636364
1.72	0.128722570532915	0.329545454545455
1.22	0.123824451410658	0.357954545454545
1.3	0.206112852664577	0.386363636363636
1.94	0.242358934169279	0.414772727272727
3	0.176724137931034	0.443181818181818
2.17	0.0836598746081505	0.471590909090909
1	0.0552507836990596	0.5
3.27	0.355995297805643	0.528409090909091
4.62	0.222766457680251	0.556818181818182
1.08	0.205133228840125	0.585227272727273
1.08	0.387343260188088	0.613636363636364
1.03	0.222766457680251	0.642045454545455
1.06	0.353056426332288	0.670454545454545
1.51	0.0650470219435737	0.698863636363636
2.47	0.286442006269592	0.727272727272727
1.04	0.0973746081504702	0.755681818181818
1.82	0.0797413793103448	0.784090909090909
2.91	0.244318181818182	0.8125
1.02	0.214929467084639	0.840909090909091
3.81	0.0865987460815047	0.869318181818182
1.13	0.308973354231975	0.897727272727273
6	0.148315047021944	0.926136363636364
1.3	0.171826018808777	0.954545454545454
4.05	0.259992163009404	0.982954545454545
