size	x	y
1.01	0.215909090909091	0.0170454545454545
4.19	0.351097178683386	0.0454545454545455
1.04	0.227664576802508	0.0738636363636364
1.97	0.575431034482759	0.102272727272727
3.88	0.51371473354232	0.130681818181818
1.03	0.599921630094044	0.159090909090909
1.85	0.634208463949843	0.1875
1.01	0.275666144200627	0.215909090909091
1.01	0.334443573667712	0.244318181818182
1.05	0.27762539184953	0.272727272727273
2.85	0.377547021943574	0.301136363636364
1.72	0.475509404388715	0.329545454545455
1.22	0.129702194357367	0.357954545454545
1.3	0.137539184952978	0.386363636363636
1.94	0.612656739811912	0.414772727272727
3	0.368730407523511	0.443181818181818
2.17	0.237460815047022	0.471590909090909
1	0.862460815047022	0.5
3.27	0.425548589341693	0.528409090909091
4.62	0.335423197492163	0.556818181818182
1.08	0.473550156739812	0.585227272727273
1.08	0.16692789968652	0.613636363636364
1.03	0.0787617554858934	0.642045454545455
1.06	0.114028213166144	0.670454545454545
1.51	0.336402821316614	0.698863636363636
2.47	0.634208463949843	0.727272727272727
1.04	0.541144200626959	0.755681818181818
1.82	0.687108150470219	0.784090909090909
2.91	0.316810344827586	0.8125
1.02	0.0454545454545454	0.840909090909091
3.81	0.47942789968652	0.869318181818182
1.13	0.421630094043887	0.897727272727273
6	0.700822884012539	0.926136363636364
1.3	0.343260188087774	0.954545454545454
4.05	0.59698275862069	0.982954545454545
