Year,State,District,GDP,GDPKC
2010,ANDHRA PRADESH,Mahabubnagar,20428,20.428
2011,ANDHRA PRADESH,Mahabubnagar,22480,22.48
2012,ANDHRA PRADESH,Mahabubnagar,25814,25.814
2004,ANDHRA PRADESH,Medak,8906.57,8.90657
2005,ANDHRA PRADESH,Medak,10613.4,10.6134
2006,ANDHRA PRADESH,Medak,13879.77,13.87977
2007,ANDHRA PRADESH,Medak,14716.18,14.71618
2008,ANDHRA PRADESH,Medak,18732.63,18.73263
2009,ANDHRA PRADESH,Medak,20744,20.744
2010,ANDHRA PRADESH,Medak,30668,30.668
2011,ANDHRA PRADESH,Medak,36418,36.418
2012,ANDHRA PRADESH,Medak,40075,40.075
2004,ANDHRA PRADESH,Nalgonda,7658.54,7.65854
2005,ANDHRA PRADESH,Nalgonda,9047.11,9.04711
2006,ANDHRA PRADESH,Nalgonda,10423.51,10.42351
2007,ANDHRA PRADESH,Nalgonda,14736.51,14.73651
2008,ANDHRA PRADESH,Nalgonda,18346.31,18.34631
2009,ANDHRA PRADESH,Nalgonda,18634,18.634
2010,ANDHRA PRADESH,Nalgonda,22185,22.185
2011,ANDHRA PRADESH,Nalgonda,24830,24.83
2012,ANDHRA PRADESH,Nalgonda,28174,28.174
2004,ANDHRA PRADESH,Nellore,7612.73,7.61273
2005,ANDHRA PRADESH,Nellore,8607.98,8.60798
2006,ANDHRA PRADESH,Nellore,10215.8,10.2158
2007,ANDHRA PRADESH,Nellore,11952.25,11.95225
2008,ANDHRA PRADESH,Nellore,14451.33,14.45133
2009,ANDHRA PRADESH,Nellore,16455,16.455
2010,ANDHRA PRADESH,Nellore,18231,18.231
2011,ANDHRA PRADESH,Nellore,22349,22.349
2012,ANDHRA PRADESH,Nellore,25569,25.569
2004,ANDHRA PRADESH,Nizambad,4869.16,4.86916
2005,ANDHRA PRADESH,Nizambad,5940.28,5.94028
2006,ANDHRA PRADESH,Nizambad,6557.73,6.55773
2007,ANDHRA PRADESH,Nizambad,7976.66,7.97666
2008,ANDHRA PRADESH,Nizambad,11428.43,11.42843
2009,ANDHRA PRADESH,Nizambad,10507,10.507
2010,ANDHRA PRADESH,Nizambad,14242,14.242
2011,ANDHRA PRADESH,Nizambad,15163,15.163
2012,ANDHRA PRADESH,Nizambad,17407,17.407
2004,ANDHRA PRADESH,Prakasam,8507.54,8.50754
2005,ANDHRA PRADESH,Prakasam,9959.52,9.95952
2006,ANDHRA PRADESH,Prakasam,11801.02,11.80102
2007,ANDHRA PRADESH,Prakasam,13304.8,13.3048
2008,ANDHRA PRADESH,Prakasam,17495.58,17.49558
2009,ANDHRA PRADESH,Prakasam,19389,19.389
2010,ANDHRA PRADESH,Prakasam,23450,23.45
2011,ANDHRA PRADESH,Prakasam,26593,26.593
2012,ANDHRA PRADESH,Prakasam,30474,30.474
2004,ANDHRA PRADESH,Rangareddy,13310.46,13.31046
2005,ANDHRA PRADESH,Rangareddy,17377.63,17.37763
2006,ANDHRA PRADESH,Rangareddy,21023.21,21.02321
2007,ANDHRA PRADESH,Rangareddy,24916.8,24.9168
2008,ANDHRA PRADESH,Rangareddy,31846.81,31.84681
2009,ANDHRA PRADESH,Rangareddy,34069,34.069
2010,ANDHRA PRADESH,Rangareddy,48226,48.226
2011,ANDHRA PRADESH,Rangareddy,54814,54.814
2012,ANDHRA PRADESH,Rangareddy,61199,61.199
2004,ANDHRA PRADESH,Srikakulam,5059.99,5.05999
2005,ANDHRA PRADESH,Srikakulam,5570.88,5.57088
2006,ANDHRA PRADESH,Srikakulam,6482.82,6.48282
2007,ANDHRA PRADESH,Srikakulam,7615.25,7.61525
2008,ANDHRA PRADESH,Srikakulam,8835.04,8.83504
2009,ANDHRA PRADESH,Srikakulam,10427,10.427
2010,ANDHRA PRADESH,Srikakulam,12149,12.149
2011,ANDHRA PRADESH,Srikakulam,14023,14.023
2012,ANDHRA PRADESH,Srikakulam,16050,16.05
2004,ANDHRA PRADESH,Visakapatnam,19371.01,19.37101
2005,ANDHRA PRADESH,Visakapatnam,20497.1,20.4971
2006,ANDHRA PRADESH,Visakapatnam,24695.94,24.69594
2007,ANDHRA PRADESH,Visakapatnam,30570.33,30.57033
2008,ANDHRA PRADESH,Visakapatnam,30638.93,30.63893
2009,ANDHRA PRADESH,Visakapatnam,37274,37.274
2010,ANDHRA PRADESH,Visakapatnam,42841,42.841
2011,ANDHRA PRADESH,Visakapatnam,50503,50.503
2012,ANDHRA PRADESH,Visakapatnam,56668,56.668
2004,ANDHRA PRADESH,Vizianagaram,4988.9,4.9889
2005,ANDHRA PRADESH,Vizianagaram,5315.09,5.31509
2006,ANDHRA PRADESH,Vizianagaram,6125.5,6.1255
2007,ANDHRA PRADESH,Vizianagaram,7639.31,7.63931
2008,ANDHRA PRADESH,Vizianagaram,8886.84,8.88684
2009,ANDHRA PRADESH,Vizianagaram,10104,10.104
2010,ANDHRA PRADESH,Vizianagaram,12187,12.187
2011,ANDHRA PRADESH,Vizianagaram,13864,13.864
2012,ANDHRA PRADESH,Vizianagaram,15858,15.858
2004,ANDHRA PRADESH,Warangal,7349.51,7.34951
2005,ANDHRA PRADESH,Warangal,8530.56,8.53056
2006,ANDHRA PRADESH,Warangal,9289.9,9.2899
2007,ANDHRA PRADESH,Warangal,11233.17,11.23317
2008,ANDHRA PRADESH,Warangal,13705.13,13.70513
2009,ANDHRA PRADESH,Warangal,14441,14.441
2010,ANDHRA PRADESH,Warangal,19107,19.107
2011,ANDHRA PRADESH,Warangal,20255,20.255
2012,ANDHRA PRADESH,Warangal,23247,23.247
2009,Assam,Baksa,2060.2,2.0602
2009,Assam,Barpeta,3175.96,3.17596
2009,Assam,Bongaigaon,2627.39,2.62739
2009,Assam,Cachar,4620.81,4.62081
2009,Assam,Chirang,1040.84,1.04084
2009,Assam,Darrang,2427.47,2.42747
2009,Assam,Dhemaji,1401.33,1.40133
2009,Assam,Dhubri,2729.46,2.72946
2009,Assam,Dibrugarh,6514.42,6.51442
2009,Assam,Dima.Hasao,1108.39,1.10839
2009,Assam,Goalpara,2227.34,2.22734
2009,Assam,Golaghat,3372.75,3.37275
2009,Assam,Hailakandi,1709.11,1.70911
2009,Assam,Jorhat,4737.05,4.73705
2009,Assam,Kamrup..Metropolitan.,6877.36,6.87736
2009,Assam,Kamrup.Rural,5604.65,5.60465
2009,Assam,Karbi.Anglong,2975.53,2.97553
2009,Assam,Karimganj,3278.82,3.27882
2009,Assam,Kokrajhar,2957.87,2.95787
2009,Assam,Lakhimpur,2535.25,2.53525
2009,Assam,Morigaon,2141.58,2.14158
2009,Assam,Nagaon,5035.64,5.03564
2009,Assam,Nalbari,2258,2.258
2009,Assam,Sivasagar,6749.67,6.74967
2009,Assam,Sonitpur,4309.46,4.30946
2009,Assam,Tinsukia,6109.28,6.10928
2009,Assam,Udalguri,2151.04,2.15104
2004,Bihar,Araria,1369.8,1.3698
2005,Bihar,Araria,1516.18,1.51618
2006,Bihar,Araria,1710.97,1.71097
2007,Bihar,Araria,2006.84,2.00684
2008,Bihar,Araria,2452.29,2.45229
2009,Bihar,Araria,2800.11,2.80011
2010,Bihar,Araria,3659.88,3.65988
2004,Bihar,Arwal,334.21,0.33421
2005,Bihar,Arwal,385.42,0.38542
2006,Bihar,Arwal,460.96,0.46096
2007,Bihar,Arwal,520.75,0.52075
2008,Bihar,Arwal,630.28,0.63028
2009,Bihar,Arwal,703.67,0.70367
2010,Bihar,Arwal,849.5,0.8495
2004,Bihar,Aurangabad,1346.64,1.34664
2005,Bihar,Aurangabad,1427.13,1.42713
2006,Bihar,Aurangabad,1869.33,1.86933
2007,Bihar,Aurangabad,2136.41,2.13641
2008,Bihar,Aurangabad,2469.87,2.46987
2009,Bihar,Aurangabad,2814.14,2.81414
2010,Bihar,Aurangabad,3487.27,3.48727
2004,Bihar,Banka,1042.12,1.04212
2005,Bihar,Banka,1087.17,1.08717
2006,Bihar,Banka,1349.83,1.34983
2007,Bihar,Banka,1500.11,1.50011
2008,Bihar,Banka,1847.26,1.84726
2009,Bihar,Banka,2085.59,2.08559
2010,Bihar,Banka,2248.51,2.24851
2004,Bihar,Begusarai,2826.24,2.82624
2005,Bihar,Begusarai,2796.49,2.79649
2006,Bihar,Begusarai,3285.05,3.28505
2007,Bihar,Begusarai,3956.5,3.9565
2008,Bihar,Begusarai,5304.32,5.30432
2009,Bihar,Begusarai,5467.83,5.46783
2010,Bihar,Begusarai,7845.18,7.84518
2004,Bihar,Bhabhua,905.22,0.90522
2005,Bihar,Bhabhua,1007.4,1.0074
2006,Bihar,Bhabhua,1180.96,1.18096
2007,Bihar,Bhabhua,1387,1.387
2008,Bihar,Bhabhua,1737.32,1.73732
2009,Bihar,Bhabhua,1738.17,1.73817
2010,Bihar,Bhabhua,2358.97,2.35897
2004,Bihar,Bhagalpur,2586.08,2.58608
2005,Bihar,Bhagalpur,2884.94,2.88494
2006,Bihar,Bhagalpur,3401.79,3.40179
2007,Bihar,Bhagalpur,3890.47,3.89047
2008,Bihar,Bhagalpur,4726.28,4.72628
2009,Bihar,Bhagalpur,5527.85,5.52785
2010,Bihar,Bhagalpur,6756.27,6.75627
2004,Bihar,Bhojpur,1619.35,1.61935
2005,Bihar,Bhojpur,1883.07,1.88307
2006,Bihar,Bhojpur,2311.43,2.31143
2007,Bihar,Bhojpur,2647.77,2.64777
2008,Bihar,Bhojpur,3400.49,3.40049
2009,Bihar,Bhojpur,3677.47,3.67747
2010,Bihar,Bhojpur,4571.55,4.57155
2004,Bihar,Buxar,956.84,0.95684
2005,Bihar,Buxar,1160.78,1.16078
2006,Bihar,Buxar,1377.25,1.37725
2007,Bihar,Buxar,1644.33,1.64433
2008,Bihar,Buxar,1956.02,1.95602
2009,Bihar,Buxar,2082.76,2.08276
2010,Bihar,Buxar,2523.65,2.52365
2004,Bihar,Darbhanga,2375.23,2.37523
2005,Bihar,Darbhanga,2560.18,2.56018
2006,Bihar,Darbhanga,3009.48,3.00948
2007,Bihar,Darbhanga,3414.82,3.41482
2008,Bihar,Darbhanga,4224.72,4.22472
2009,Bihar,Darbhanga,4891.51,4.89151
2010,Bihar,Darbhanga,6541.08,6.54108
2004,Bihar,East.Champaran,2702.3,2.7023
2005,Bihar,East.Champaran,2809.42,2.80942
2006,Bihar,East.Champaran,3427.38,3.42738
2007,Bihar,East.Champaran,3369.73,3.36973
2008,Bihar,East.Champaran,5119.15,5.11915
2009,Bihar,East.Champaran,4996.7,4.9967
2010,Bihar,East.Champaran,6643.9,6.6439
2004,Bihar,Gaya,2600.79,2.60079
2005,Bihar,Gaya,2851.81,2.85181
2006,Bihar,Gaya,3600.7,3.6007
2007,Bihar,Gaya,4099.97,4.09997
2008,Bihar,Gaya,4761.66,4.76166
2009,Bihar,Gaya,5423.01,5.42301
2010,Bihar,Gaya,6555.29,6.55529
2004,Bihar,Gopalgang,1486.46,1.48646
2005,Bihar,Gopalgang,1637.26,1.63726
2006,Bihar,Gopalgang,1982.96,1.98296
2007,Bihar,Gopalgang,2241.2,2.2412
2008,Bihar,Gopalgang,2627.2,2.6272
2009,Bihar,Gopalgang,3099.64,3.09964
2010,Bihar,Gopalgang,4235.91,4.23591
2004,Bihar,Jamui,1076.86,1.07686
2005,Bihar,Jamui,1181.77,1.18177
2006,Bihar,Jamui,1341.9,1.3419
2007,Bihar,Jamui,1535.26,1.53526
2008,Bihar,Jamui,1852.72,1.85272
2009,Bihar,Jamui,2185.01,2.18501
2010,Bihar,Jamui,2621.02,2.62102
2004,Bihar,Jehanabad,591.88,0.59188
2005,Bihar,Jehanabad,666.2,0.6662
2006,Bihar,Jehanabad,834.07,0.83407
2007,Bihar,Jehanabad,949.48,0.94948
2008,Bihar,Jehanabad,1222.68,1.22268
2009,Bihar,Jehanabad,1284.94,1.28494
2010,Bihar,Jehanabad,1531.88,1.53188
2004,Bihar,Katihar,2012.32,2.01232
2005,Bihar,Katihar,2060.26,2.06026
2006,Bihar,Katihar,2428.66,2.42866
2007,Bihar,Katihar,2697.95,2.69795
2008,Bihar,Katihar,3298.82,3.29882
2009,Bihar,Katihar,3890.24,3.89024
2010,Bihar,Katihar,4772.09,4.77209
2004,Bihar,Khagaria,906.99,0.90699
2005,Bihar,Khagaria,980.7,0.9807
2006,Bihar,Khagaria,1179.24,1.17924
2007,Bihar,Khagaria,1413.29,1.41329
2008,Bihar,Khagaria,1681.2,1.6812
2009,Bihar,Khagaria,1882.11,1.88211
2010,Bihar,Khagaria,2245.96,2.24596
2004,Bihar,Kishangang,973.41,0.97341
2005,Bihar,Kishangang,1036.98,1.03698
2006,Bihar,Kishangang,1228.99,1.22899
2007,Bihar,Kishangang,1305.31,1.30531
2008,Bihar,Kishangang,1608.06,1.60806
2009,Bihar,Kishangang,1783.08,1.78308
2010,Bihar,Kishangang,2249.57,2.24957
2004,Bihar,Lakhisarai,609.01,0.60901
2005,Bihar,Lakhisarai,678.34,0.67834
2006,Bihar,Lakhisarai,875.98,0.87598
2007,Bihar,Lakhisarai,1004.88,1.00488
2008,Bihar,Lakhisarai,1179.09,1.17909
2009,Bihar,Lakhisarai,1366.91,1.36691
2010,Bihar,Lakhisarai,1590.07,1.59007
2004,Bihar,Madhepura,1062.6,1.0626
2005,Bihar,Madhepura,1107.15,1.10715
2006,Bihar,Madhepura,1298.71,1.29871
2007,Bihar,Madhepura,1467.61,1.46761
2008,Bihar,Madhepura,1561.43,1.56143
2009,Bihar,Madhepura,1884.04,1.88404
2010,Bihar,Madhepura,2438.85,2.43885
2004,Bihar,Madhubani,2660.89,2.66089
2005,Bihar,Madhubani,2293.76,2.29376
2006,Bihar,Madhubani,2947.01,2.94701
2007,Bihar,Madhubani,2980.44,2.98044
2008,Bihar,Madhubani,4062.52,4.06252
2009,Bihar,Madhubani,4355.79,4.35579
2010,Bihar,Madhubani,7311.13,7.31113
2004,Bihar,Munger,1406.39,1.40639
2005,Bihar,Munger,1551.17,1.55117
2006,Bihar,Munger,1841.41,1.84141
2007,Bihar,Munger,2316.02,2.31602
2008,Bihar,Munger,2727.5,2.7275
2009,Bihar,Munger,3240.59,3.24059
2010,Bihar,Munger,3942.42,3.94242
2004,Bihar,Muzaffarpur,3500.3,3.5003
2005,Bihar,Muzaffarpur,3650.63,3.65063
2006,Bihar,Muzaffarpur,4367.05,4.36705
2007,Bihar,Muzaffarpur,4868.43,4.86843
2008,Bihar,Muzaffarpur,6366.15,6.36615
2009,Bihar,Muzaffarpur,7189.02,7.18902
2010,Bihar,Muzaffarpur,9217.88,9.21788
2004,Bihar,Nalanda,1629.36,1.62936
2005,Bihar,Nalanda,1874.21,1.87421
2006,Bihar,Nalanda,2191.31,2.19131
2007,Bihar,Nalanda,2521.83,2.52183
2008,Bihar,Nalanda,3077.43,3.07743
2009,Bihar,Nalanda,3568.29,3.56829
2010,Bihar,Nalanda,4338.85,4.33885
2004,Bihar,Nawada,1049.52,1.04952
2005,Bihar,Nawada,1161.58,1.16158
2006,Bihar,Nawada,1467.38,1.46738
2007,Bihar,Nawada,1677.78,1.67778
2008,Bihar,Nawada,2046.72,2.04672
2009,Bihar,Nawada,2241.67,2.24167
2010,Bihar,Nawada,2641.54,2.64154
2004,Bihar,Patna,18625.77,18.62577
2005,Bihar,Patna,19070.21,19.07021
2006,Bihar,Patna,23584.94,23.58494
2007,Bihar,Patna,28035.34,28.03534
2008,Bihar,Patna,34670.38,34.67038
2009,Bihar,Patna,42724.62,42.72462
2010,Bihar,Patna,51071.47,51.07147
2004,Bihar,Purnea,1920.84,1.92084
2005,Bihar,Purnea,2053.16,2.05316
2006,Bihar,Purnea,2366.56,2.36656
2007,Bihar,Purnea,2637.98,2.63798
2008,Bihar,Purnea,3265.97,3.26597
2009,Bihar,Purnea,3905.74,3.90574
2010,Bihar,Purnea,4577.07,4.57707
2004,Bihar,Rohtas,2207.49,2.20749
2005,Bihar,Rohtas,2442.86,2.44286
2006,Bihar,Rohtas,2831.97,2.83197
2007,Bihar,Rohtas,3231.02,3.23102
2008,Bihar,Rohtas,4118.35,4.11835
2009,Bihar,Rohtas,4445.72,4.44572
2010,Bihar,Rohtas,5456.08,5.45608
2004,Bihar,Saharsa,1247.58,1.24758
2005,Bihar,Saharsa,1309.2,1.3092
2006,Bihar,Saharsa,1534.04,1.53404
2007,Bihar,Saharsa,1709.78,1.70978
2008,Bihar,Saharsa,2056.46,2.05646
2009,Bihar,Saharsa,2515.32,2.51532
2010,Bihar,Saharsa,3289.06,3.28906
2004,Bihar,Samstipur,2369.58,2.36958
2005,Bihar,Samstipur,2519.01,2.51901
2006,Bihar,Samstipur,3401.66,3.40166
2007,Bihar,Samstipur,3391.63,3.39163
2008,Bihar,Samstipur,4340.16,4.34016
2009,Bihar,Samstipur,4834.77,4.83477
2010,Bihar,Samstipur,6501.25,6.50125
2004,Bihar,Saran,2142.28,2.14228
2005,Bihar,Saran,2442.83,2.44283
2006,Bihar,Saran,2783.96,2.78396
2007,Bihar,Saran,3274.98,3.27498
2008,Bihar,Saran,3805.83,3.80583
2009,Bihar,Saran,4455.72,4.45572
2010,Bihar,Saran,5384.83,5.38483
2004,Bihar,Shekhpura,314.78,0.31478
2005,Bihar,Shekhpura,380.32,0.38032
2006,Bihar,Shekhpura,451.37,0.45137
2007,Bihar,Shekhpura,539.28,0.53928
2008,Bihar,Shekhpura,682.35,0.68235
2009,Bihar,Shekhpura,707.76,0.70776
2010,Bihar,Shekhpura,833.86,0.83386
2004,Bihar,Sheohar,249.52,0.24952
2005,Bihar,Sheohar,261.6,0.2616
2006,Bihar,Sheohar,337.88,0.33788
2007,Bihar,Sheohar,413.08,0.41308
2008,Bihar,Sheohar,503.12,0.50312
2009,Bihar,Sheohar,493.87,0.49387
2010,Bihar,Sheohar,650.18,0.65018
2004,Bihar,Sitamarhi,1586.09,1.58609
2005,Bihar,Sitamarhi,1751.55,1.75155
2006,Bihar,Sitamarhi,2190.63,2.19063
2007,Bihar,Sitamarhi,2300.93,2.30093
2008,Bihar,Sitamarhi,3051.23,3.05123
2009,Bihar,Sitamarhi,3423.59,3.42359
2010,Bihar,Sitamarhi,4260.88,4.26088
2004,Bihar,Siwan,1737.06,1.73706
2005,Bihar,Siwan,1881.15,1.88115
2006,Bihar,Siwan,2700.48,2.70048
2007,Bihar,Siwan,2699.07,2.69907
2008,Bihar,Siwan,3565.77,3.56577
2009,Bihar,Siwan,3496.19,3.49619
2010,Bihar,Siwan,4372.69,4.37269
2004,Bihar,Supaul,1176.52,1.17652
2005,Bihar,Supaul,1201.23,1.20123
2006,Bihar,Supaul,1420.92,1.42092
2007,Bihar,Supaul,1527.38,1.52738
2008,Bihar,Supaul,1802.22,1.80222
2009,Bihar,Supaul,2091.97,2.09197
2010,Bihar,Supaul,2722.75,2.72275
2004,Bihar,Vaishali,2066,2.066
2005,Bihar,Vaishali,2184.94,2.18494
2006,Bihar,Vaishali,2664.91,2.66491
2007,Bihar,Vaishali,2796.93,2.79693
2008,Bihar,Vaishali,3871.03,3.87103
2009,Bihar,Vaishali,4326.92,4.32692
2010,Bihar,Vaishali,5559.69,5.55969
2004,Bihar,West.Champaran,2506.85,2.50685
2005,Bihar,West.Champaran,2742.1,2.7421
2006,Bihar,West.Champaran,3498.02,3.49802
2007,Bihar,West.Champaran,3568.34,3.56834
2008,Bihar,West.Champaran,4605.11,4.60511
2009,Bihar,West.Champaran,5320.54,5.32054
2010,Bihar,West.Champaran,6604.62,6.60462
2007,Karnataka,Bagalkote,5903,5.903
2008,Karnataka,Bagalkote,6521,6.521
2009,Karnataka,Bagalkote,6633,6.633
2010,Karnataka,Bagalkote,8146,8.146
2007,Karnataka,Bangalore.Rural,5739,5.739
2008,Karnataka,Bangalore.Rural,6332,6.332
2009,Karnataka,Bangalore.Rural,9039,9.039
2010,Karnataka,Bangalore.Rural,10278,10.278
2007,Karnataka,Bangalore.Urban,90753,90.753
2008,Karnataka,Bangalore.Urban,102183,102.183
2009,Karnataka,Bangalore.Urban,117356,117.356
2010,Karnataka,Bangalore.Urban,128197,128.197
2007,Karnataka,Belgaum,14704,14.704
2008,Karnataka,Belgaum,16205,16.205
2009,Karnataka,Belgaum,18868,18.868
2010,Karnataka,Belgaum,22297,22.297
2007,Karnataka,Bellary,12350,12.35
2008,Karnataka,Bellary,13317,13.317
2009,Karnataka,Bellary,13454,13.454
2010,Karnataka,Bellary,19498,19.498
2007,Karnataka,Bidar,3829,3.829
2008,Karnataka,Bidar,4288,4.288
2009,Karnataka,Bidar,4645,4.645
2010,Karnataka,Bidar,6006,6.006
2007,Karnataka,Bijapur,5721,5.721
2008,Karnataka,Bijapur,6348,6.348
2009,Karnataka,Bijapur,6480,6.48
2010,Karnataka,Bijapur,8828,8.828
2007,Karnataka,Chamarajanagar,2778,2.778
2008,Karnataka,Chamarajanagar,30409,30.409
2009,Karnataka,Chamarajanagar,3229,3.229
2010,Karnataka,Chamarajanagar,3757,3.757
2007,Karnataka,Chickballapur,3744,3.744
2008,Karnataka,Chickballapur,4135,4.135
2009,Karnataka,Chickballapur,4251,4.251
2010,Karnataka,Chickballapur,4652,4.652
2007,Karnataka,Chickmagalur,4709,4.709
2008,Karnataka,Chickmagalur,5219,5.219
2009,Karnataka,Chickmagalur,6132,6.132
2010,Karnataka,Chickmagalur,7351,7.351
2007,Karnataka,Chitradurga,5137,5.137
2008,Karnataka,Chitradurga,5654,5.654
2009,Karnataka,Chitradurga,6533,6.533
2010,Karnataka,Chitradurga,8365,8.365
2007,Karnataka,Dakshina.Kannada,1239,1.239
2008,Karnataka,Dakshina.Kannada,14012,14.012
2009,Karnataka,Dakshina.Kannada,17735,17.735
2010,Karnataka,Dakshina.Kannada,19673,19.673
2007,Karnataka,Davangere,6627,6.627
2008,Karnataka,Davangere,7372,7.372
2009,Karnataka,Davangere,8376,8.376
2010,Karnataka,Davangere,9467,9.467
2007,Karnataka,Dharwad,8364,8.364
2008,Karnataka,Dharwad,9383,9.383
2009,Karnataka,Dharwad,11842,11.842
2010,Karnataka,Dharwad,13916,13.916
2007,Karnataka,Gadag,3314,3.314
2008,Karnataka,Gadag,3725,3.725
2009,Karnataka,Gadag,3927,3.927
2010,Karnataka,Gadag,4705,4.705
2007,Karnataka,Gulbarga,9269,9.269
2008,Karnataka,Gulbarga,10249,10.249
2009,Karnataka,Gulbarga,7615,7.615
2010,Karnataka,Gulbarga,10113,10.113
2007,Karnataka,Hassan,5634,5.634
2008,Karnataka,Hassan,6276,6.276
2009,Karnataka,Hassan,7956,7.956
2010,Karnataka,Hassan,9811,9.811
2007,Karnataka,Haveri,4202,4.202
2008,Karnataka,Haveri,4641,4.641
2009,Karnataka,Haveri,4974,4.974
2010,Karnataka,Haveri,5840,5.84
2007,Karnataka,Kodagu,3898,3.898
2008,Karnataka,Kodagu,4276,4.276
2009,Karnataka,Kodagu,5063,5.063
2010,Karnataka,Kodagu,5701,5.701
2007,Karnataka,Kolar,5471,5.471
2008,Karnataka,Kolar,5974,5.974
2009,Karnataka,Kolar,7515,7.515
2010,Karnataka,Kolar,7870,7.87
2007,Karnataka,Koppal,3679,3.679
2008,Karnataka,Koppal,4037,4.037
2009,Karnataka,Koppal,4533,4.533
2010,Karnataka,Koppal,5863,5.863
2007,Karnataka,Mandya,5322,5.322
2008,Karnataka,Mandya,5829,5.829
2009,Karnataka,Mandya,5828,5.828
2010,Karnataka,Mandya,7497,7.497
2007,Karnataka,Mysore,10784,10.784
2008,Karnataka,Mysore,11974,11.974
2009,Karnataka,Mysore,15117,15.117
2010,Karnataka,Mysore,19122,19.122
2007,Karnataka,Raichur,4950,4.95
2008,Karnataka,Raichur,5454,5.454
2009,Karnataka,Raichur,5962,5.962
2010,Karnataka,Raichur,7268,7.268
2007,Karnataka,Ramnagara,4479,4.479
2008,Karnataka,Ramnagara,4930,4.93
2009,Karnataka,Ramnagara,4740,4.74
2010,Karnataka,Ramnagara,7824,7.824
2007,Karnataka,Shimoga,7340,7.34
2008,Karnataka,Shimoga,8130,8.13
2009,Karnataka,Shimoga,8930,8.93
2010,Karnataka,Shimoga,10023,10.023
2007,Karnataka,Tumkur,8772,8.772
2008,Karnataka,Tumkur,9682,9.682
2009,Karnataka,Tumkur,10908,10.908
2010,Karnataka,Tumkur,13684,13.684
2007,Karnataka,Udupi,6374,6.374
2008,Karnataka,Udupi,7276,7.276
2009,Karnataka,Udupi,7998,7.998
2010,Karnataka,Udupi,9340,9.34
2007,Karnataka,Uttara.Kannads,5010,5.01
2008,Karnataka,Uttara.Kannads,5683,5.683
2009,Karnataka,Uttara.Kannads,6045,6.045
2010,Karnataka,Uttara.Kannads,7983,7.983
2007,Karnataka,Yadagiri,NA,NA
2008,Karnataka,Yadagiri,NA,NA
2009,Karnataka,Yadagiri,3551,3.551
2010,Karnataka,Yadagiri,3393,3.393
2004,Kerala,Alappuzha,7610.28,7.61028
2005,Kerala,Alappuzha,8780.71,8.78071
2006,Kerala,Alappuzha,9975.1,9.9751
2007,Kerala,Alappuzha,11308.12,11.30812
2008,Kerala,Alappuzha,13240.2,13.2402
2009,Kerala,Alappuzha,15439.7,15.4397
2010,Kerala,Alappuzha,16644.02,16.64402
2011,Kerala,Alappuzha,19481.11,19.48111
2012,Kerala,Alappuzha,22283.58,22.28358
2004,Kerala,Eranakulam,16681.12,16.68112
2005,Kerala,Eranakulam,19158.99,19.15899
2006,Kerala,Eranakulam,21902.69,21.90269
2007,Kerala,Eranakulam,25082.24,25.08224
2008,Kerala,Eranakulam,29592.35,29.59235
2009,Kerala,Eranakulam,32913.83,32.91383
2010,Kerala,Eranakulam,37301.69,37.30169
2011,Kerala,Eranakulam,42969.01,42.96901
2012,Kerala,Eranakulam,49453.29,49.45329
2004,Kerala,Idukki,4466.65,4.46665
2005,Kerala,Idukki,5090.36,5.09036
2006,Kerala,Idukki,5639.35,5.63935
2007,Kerala,Idukki,6101.25,6.10125
2008,Kerala,Idukki,7302.45,7.30245
2009,Kerala,Idukki,8669.66,8.66966
2010,Kerala,Idukki,10440.28,10.44028
2011,Kerala,Idukki,11590.28,11.59028
2012,Kerala,Idukki,12768.89,12.76889
2004,Kerala,Kannur,8640.83,8.64083
2005,Kerala,Kannur,9953.32,9.95332
2006,Kerala,Kannur,10952.44,10.95244
2007,Kerala,Kannur,12460.44,12.46044
2008,Kerala,Kannur,14414.58,14.41458
2009,Kerala,Kannur,16501.35,16.50135
2010,Kerala,Kannur,18941.71,18.94171
2011,Kerala,Kannur,22303.84,22.30384
2012,Kerala,Kannur,25346.44,25.34644
2004,Kerala,Kasaragod,3995.04,3.99504
2005,Kerala,Kasaragod,4487.04,4.48704
2006,Kerala,Kasaragod,5079.01,5.07901
2007,Kerala,Kasaragod,5892.13,5.89213
2008,Kerala,Kasaragod,6283.1,6.2831
2009,Kerala,Kasaragod,7131.73,7.13173
2010,Kerala,Kasaragod,8437.04,8.43704
2011,Kerala,Kasaragod,10209.85,10.20985
2012,Kerala,Kasaragod,11522.96,11.52296
2004,Kerala,Kollam,8853.74,8.85374
2005,Kerala,Kollam,10403.22,10.40322
2006,Kerala,Kollam,11555.24,11.55524
2007,Kerala,Kollam,13176.85,13.17685
2008,Kerala,Kollam,15964.57,15.96457
2009,Kerala,Kollam,17441.53,17.44153
2010,Kerala,Kollam,20102.22,20.10222
2011,Kerala,Kollam,23363.72,23.36372
2012,Kerala,Kollam,26437.83,26.43783
2004,Kerala,Kottayam,8225.77,8.22577
2005,Kerala,Kottayam,9603.85,9.60385
2006,Kerala,Kottayam,10843.13,10.84313
2007,Kerala,Kottayam,12350.36,12.35036
2008,Kerala,Kottayam,14032.46,14.03246
2009,Kerala,Kottayam,16282.68,16.28268
2010,Kerala,Kottayam,18624.25,18.62425
2011,Kerala,Kottayam,21678.72,21.67872
